Identifier,ARN,Resource type,Region,AWS Account,LastReportedAt,Service,Tags,Tag:shared_costs,Tag:workspace,Tag:Product,Tag:for-use-with-amazon-emr-managed-policies,Tag:Naming,Tag:Name,Tag:Cost Center,Tag:environment,Tag:APM_functional,Tag:service,Tag:CIA,Tag:aws:elasticmapreduce:job-flow-id,Tag:aws:elasticmapreduce:instance-group-role,Tag:sagemaker:project-name,Tag:sagemaker:user-profile-arn,Tag:sagemaker:domain-arn,Tag:sagemaker:project-id,Tag:aws:servicecatalog:productArn,Tag:aws:servicecatalog:provisioningPrincipalArn,Tag:aws:servicecatalog:provisioningArtifactIdentifier,Tag:aws:servicecatalog:portfolioArn,Tag:aws:servicecatalog:provisionedProductArn,Tag:sagemaker:pipeline-step-name,Tag:sagemaker:pipeline-execution-arn,Tag:type_policy,Tag:ManagedByAmazonSageMakerResource,Tag:Description,Tag:InstanceConnectEndpointId
AccountAutomationCyb_policy,arn:aws:iam::954519111599:policy/AccountAutomationCyb_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
t2prj0348770-CreateNotebookInstance_policy,arn:aws:iam::954519111599:policy/t2prj0348770-CreateNotebookInstance_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),local,(not tagged),(not tagged),(not tagged)
default.redis3.2,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis3.2,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.redis6.x,arn:aws:elasticache:ap-south-1:954519111599:parametergroup:default.redis6.x,elasticache:parametergroup,ap-south-1,954519111599,2024-02-23T17:31:32Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0ec9eed94caca8eb4,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-0ec9eed94caca8eb4,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-2hg6g8suxa7a/data-science-5/system-jupyterserverorkernelgateway,(not tagged),(not tagged)
default.redis6.x.cluster.on,arn:aws:elasticache:eu-west-2:954519111599:parametergroup:default.redis6.x.cluster.on,elasticache:parametergroup,eu-west-2,954519111599,2024-02-23T17:33:52Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
AmazonEMR_InstanceProfile_policy,arn:aws:iam::954519111599:policy/AmazonEMR_InstanceProfile_policy,iam:policy,global,954519111599,2024-02-23T17:37:29Z,iam,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),local,(not tagged),(not tagged),(not tagged)
eni-038bb6cd53febff31,arn:aws:ec2:us-east-1:954519111599:network-interface/eni-038bb6cd53febff31,ec2:network-interface,us-east-1,954519111599,2024-02-23T17:38:45Z,ec2,1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),arn:aws:sagemaker:us-east-1:954519111599:node/d-6tiqlee3zbyq/data-science-2/system-jupyterserverorkernelgateway,(not tagged),(not tagged)
default.redis3.2,arn:aws:elasticache:ap-northeast-1:954519111599:parametergroup:default.redis3.2,elasticache:parametergroup,ap-northeast-1,954519111599,2024-02-23T17:36:28Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memcached1.6,arn:aws:elasticache:us-west-1:954519111599:parametergroup:default.memcached1.6,elasticache:parametergroup,us-west-1,954519111599,2024-02-23T17:35:37Z,elasticache,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
